Loss,Accuracy,model_summary
0.1353544890880584,0.6499999761581421,"Model: ""sequential_52""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 64)                384       
                                                                 
 hidden1 (Dense)             (None, 64)                4160      
                                                                 
 output (Dense)              (None, 3)                 195       
                                                                 
=================================================================
Total params: 4,739
Trainable params: 4,739
Non-trainable params: 0
_________________________________________________________________"
0.1491257697343826,0.6449999809265137,"Model: ""sequential_53""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 64)                384       
                                                                 
 output (Dense)              (None, 3)                 195       
                                                                 
=================================================================
Total params: 579
Trainable params: 579
Non-trainable params: 0
_________________________________________________________________"
0.1418744474649429,0.6050000190734863,"Model: ""sequential_54""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 32)                192       
                                                                 
 output (Dense)              (None, 3)                 99        
                                                                 
=================================================================
Total params: 291
Trainable params: 291
Non-trainable params: 0
_________________________________________________________________"
0.1433128714561462,0.6800000071525574,"Model: ""sequential_55""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 output (Dense)              (None, 3)                 51        
                                                                 
=================================================================
Total params: 147
Trainable params: 147
Non-trainable params: 0
_________________________________________________________________"
0.1316204965114593,0.6399999856948853,"Model: ""sequential_56""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 8)                 48        
                                                                 
 output (Dense)              (None, 3)                 27        
                                                                 
=================================================================
Total params: 75
Trainable params: 75
Non-trainable params: 0
_________________________________________________________________"
0.1460279822349548,0.5199999809265137,"Model: ""sequential_57""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 4)                 24        
                                                                 
 output (Dense)              (None, 3)                 15        
                                                                 
=================================================================
Total params: 39
Trainable params: 39
Non-trainable params: 0
_________________________________________________________________"
0.1429020911455154,0.5149999856948853,"Model: ""sequential_58""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 8)                 48        
                                                                 
 hidden1 (Dense)             (None, 8)                 72        
                                                                 
 output (Dense)              (None, 3)                 27        
                                                                 
=================================================================
Total params: 147
Trainable params: 147
Non-trainable params: 0
_________________________________________________________________"
0.1449358314275741,0.5799999833106995,"Model: ""sequential_59""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 hidden1 (Dense)             (None, 8)                 136       
                                                                 
 output (Dense)              (None, 3)                 27        
                                                                 
=================================================================
Total params: 259
Trainable params: 259
Non-trainable params: 0
_________________________________________________________________"
0.1725299507379531,0.4799999892711639,"Model: ""sequential_60""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 hidden1 (Dense)             (None, 8)                 136       
                                                                 
 output (Dense)              (None, 3)                 27        
                                                                 
=================================================================
Total params: 259
Trainable params: 259
Non-trainable params: 0
_________________________________________________________________"
0.1323212385177612,0.6899999976158142,"Model: ""sequential_61""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 hidden1 (Dense)             (None, 8)                 136       
                                                                 
 output (Dense)              (None, 3)                 27        
                                                                 
=================================================================
Total params: 259
Trainable params: 259
Non-trainable params: 0
_________________________________________________________________"
0.1471666693687439,0.6150000095367432,"Model: ""sequential_62""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 output (Dense)              (None, 3)                 51        
                                                                 
=================================================================
Total params: 147
Trainable params: 147
Non-trainable params: 0
_________________________________________________________________"
0.1334880590438842,0.6200000047683716,"Model: ""sequential_63""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 output (Dense)              (None, 3)                 51        
                                                                 
=================================================================
Total params: 147
Trainable params: 147
Non-trainable params: 0
_________________________________________________________________"
0.1355991810560226,0.6800000071525574,"Model: ""sequential_64""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 output (Dense)              (None, 3)                 51        
                                                                 
=================================================================
Total params: 147
Trainable params: 147
Non-trainable params: 0
_________________________________________________________________"
10.535504341125488,0.4300000071525574,"Model: ""sequential_65""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 output (Dense)              (None, 3)                 51        
                                                                 
=================================================================
Total params: 147
Trainable params: 147
Non-trainable params: 0
_________________________________________________________________"
0.1286359280347824,0.5899999737739563,"Model: ""sequential_66""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 output (Dense)              (None, 3)                 51        
                                                                 
=================================================================
Total params: 147
Trainable params: 147
Non-trainable params: 0
_________________________________________________________________"
0.13485951721668243,0.6000000238418579,"Model: ""sequential_67""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 input (Dense)               (None, 16)                96        
                                                                 
 output (Dense)              (None, 3)                 51        
                                                                 
=================================================================
Total params: 147
Trainable params: 147
Non-trainable params: 0
_________________________________________________________________"
